Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20
31,"Donovan Mitchell, SG",UTAH,53,33.4,3.20,-0.54,2.67,7.75,,,,,,,,,,,
32,"Terry Rozier, SG",CHA,57,34.0,1.61,0.96,2.57,8.27,,,,,,,,,,,
33,"Zion Williamson, PF",NO,55,33.0,1.06,1.42,2.48,7.12,,,,,,,,,,,
34,"Jrue Holiday, PG",MIL,48,31.9,1.85,0.62,2.47,6.73,,,,,,,,,,,
35,"Zach LaVine, SG",CHI,53,35.2,1.95,0.43,2.38,7.85,,,,,,,,,,,
36,"Kawhi Leonard, SF",LAC,46,34.4,1.57,0.65,2.22,6.26,,,,,,,,,,,
37,"Danny Green, SF",PHI,59,28.3,-0.38,2.59,2.20,6.33,,,,,,,,,,,
38,"Donte DiVincenzo, SG",MIL,56,27.4,0.71,1.49,2.20,6.16,,,,,,,,,,,
39,"Devin Booker, SG",PHX,56,33.6,1.24,0.92,2.16,7.04,,,,,,,,,,,
40,"Bradley Beal, SG",WSH,51,35.5,2.83,-0.68,2.15,7.33,,,,,,,,,,,
RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,,,,,,,,,,,
41,"Tobias Harris, PF",PHI,51,33.1,0.38,1.74,2.12,6.44,,,,,,,,,,,
42,"Malcolm Brogdon, PG",IND,54,35.0,0.66,1.42,2.08,7.04,,,,,,,,,,,
43,"Kyle Anderson, SF",MEM,57,27.4,0.05,2.02,2.07,5.73,,,,,,,,,,,
44,"Jayson Tatum, SF",BOS,55,35.6,0.85,1.14,1.99,7.30,,,,,,,,,,,
45,"Patrick Beverley, PG",LAC,31,23.4,0.05,1.91,1.96,2.45,,,,,,,,,,,
46,"Chris Chiozza, PG",BKN,22,10.5,2.84,-0.95,1.90,1.03,,,,,,,,,,,
47,"Jae Crowder, PF",PHX,55,27.4,-0.45,2.28,1.83,5.41,,,,,,,,,,,
48,"Trae Young, PG",ATL,54,34.2,2.30,-0.50,1.80,6.41,,,,,,,,,,,
49,"Jonas Valanciunas, C",MEM,51,28.1,-0.33,2.13,1.80,4.90,,,,,,,,,,,
