Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20
253,"Robin Lopez, C",WSH,60,19.6,-0.29,-0.76,-1.05,1.17,,,,,,,,,,,
254,"Yuta Watanabe, SF",TOR,41,13.4,-0.28,-0.78,-1.06,0.60,,,,,,,,,,,
255,"Trey Lyles, PF",SA,23,15.6,-0.44,-0.64,-1.08,0.34,,,,,,,,,,,
256,"Alex Caruso, SG",LAL,50,20.5,-0.14,-0.96,-1.10,1.06,,,,,,,,,,,
257,"Mamadi Diakite, PF",MIL,12,8.5,-1.04,-0.06,-1.10,0.11,,,,,,,,,,,
258,"Facundo Campazzo, PG",DEN,54,19.9,-0.37,-0.74,-1.11,0.94,,,,,,,,,,,
259,"Dario Saric, PF",PHX,41,17.5,0.47,-1.57,-1.11,0.72,,,,,,,,,,,
260,"Malachi Flynn, PG",TOR,35,16.7,-0.39,-0.75,-1.14,0.52,,,,,,,,,,,
261,"Moritz Wagner, C",BOS/WSH,34,12.8,-0.32,-0.83,-1.15,0.34,,,,,,,,,,,
262,"CJ Elleby, SG",POR,21,7.3,-0.99,-0.17,-1.16,0.12,,,,,,,,,,,
263,"Gorgui Dieng, C",SA/MEM,28,15.1,0.27,-1.43,-1.16,0.40,,,,,,,,,,,
264,"Xavier Tillman, C",MEM,49,19.1,-0.61,-0.57,-1.18,0.78,,,,,,,,,,,
265,"Jeff Green, PF",BKN,57,27.0,-0.86,-0.34,-1.19,1.13,,,,,,,,,,,
266,"Amir Coffey, SG",LAC,42,8.8,-0.63,-0.58,-1.21,0.30,,,,,,,,,,,
267,"Dakota Mathias, G",PHI,8,15.4,-0.19,-1.02,-1.21,0.09,,,,,,,,,,,
268,"Robert Woodard II, SF",SAC,11,2.6,-0.70,-0.51,-1.21,0.04,,,,,,,,,,,
269,"Eric Paschall, PF",GS,39,17.3,-0.45,-0.76,-1.21,0.55,,,,,,,,,,,
270,"Trey Burke, PG",DAL,49,14.3,0.59,-1.80,-1.21,0.60,,,,,,,,,,,
271,"Gary Harris, SG",DEN/ORL,27,29.3,-2.18,0.97,-1.21,0.51,,,,,,,,,,,
272,"Chimezie Metu, PF",SAC,27,10.0,0.15,-1.38,-1.23,0.24,,,,,,,,,,,
273,"Isaiah Stewart, C",DET,59,20.3,-0.53,-0.71,-1.24,0.99,,,,,,,,,,,
274,"Raul Neto, PG",WSH,54,21.0,0.42,-1.68,-1.26,0.91,,,,,,,,,,,
275,"Keita Bates-Diop, SF",SA,22,6.9,-0.57,-0.70,-1.27,0.13,,,,,,,,,,,
276,"Deni Avdija, SF",WSH,54,23.3,-1.43,0.17,-1.27,0.89,,,,,,,,,,,
277,"JaMychal Green, PF",DEN,47,18.7,0.08,-1.36,-1.28,0.63,,,,,,,,,,,
278,"Blake Griffin, PF",DET/BKN,35,26.9,-0.77,-0.52,-1.29,0.60,,,,,,,,,,,
279,"Dewayne Dedmon, C",MIA,6,13.3,-0.36,-0.93,-1.29,0.07,,,,,,,,,,,
280,"Garrison Mathews, G",WSH,54,17.3,-0.09,-1.20,-1.29,0.64,,,,,,,,,,,
RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,,,,,,,,,,,
281,"Elijah Hughes, SF",UTAH,13,3.5,0.45,-1.75,-1.30,0.03,,,,,,,,,,,
282,"Derrick Jones Jr., SF",POR,53,23.8,-2.85,1.54,-1.31,0.71,,,,,,,,,,,
283,"Luke Kennard, SG",LAC,56,19.9,0.23,-1.54,-1.31,0.75,,,,,,,,,,,
284,"Dwight Powell, C",DAL,45,14.9,-1.33,0.02,-1.31,0.45,,,,,,,,,,,
285,"Nemanja Bjelica, F",MIA/SAC,34,15.5,0.18,-1.49,-1.31,0.37,,,,,,,,,,,
286,"Payton Pritchard, PG",BOS,55,19.1,0.52,-1.83,-1.31,0.79,,,,,,,,,,,
287,"Miye Oni, SG",UTAH,44,9.1,-1.12,-0.22,-1.34,0.25,,,,,,,,,,,
288,"Andre Iguodala, SF",MIA,54,21.5,-1.40,0.05,-1.35,0.75,,,,,,,,,,,
289,"Yogi Ferrell, G",CLE/LAC,3,20.3,0.12,-1.48,-1.36,0.03,,,,,,,,,,,
290,"Sterling Brown, SF",HOU,51,24.1,0.03,-1.40,-1.37,0.79,,,,,,,,,,,
291,"Nicolas Claxton, PF",BKN,25,18.5,-0.76,-0.63,-1.39,0.27,,,,,,,,,,,
292,"Moses Brown, C",OKC,31,20.3,-1.80,0.41,-1.39,0.33,,,,,,,,,,,
293,"Taurean Prince, PF",CLE/BKN,41,22.1,0.52,-1.92,-1.40,0.55,,,,,,,,,,,
294,"Nerlens Noel, C",NY,54,23.8,-3.04,1.64,-1.40,0.65,,,,,,,,,,,
295,"Thaddeus Young, PF",CHI,56,24.0,0.84,-2.25,-1.41,0.80,,,,,,,,,,,
296,"Terrence Ross, SG",ORL,46,29.3,0.17,-1.58,-1.41,0.81,,,,,,,,,,,
297,"Robert Franks, F",ORL,6,14.0,-0.37,-1.05,-1.42,0.05,,,,,,,,,,,
298,"Tyrese Maxey, PG",PHI,51,14.8,-0.49,-0.93,-1.42,0.42,,,,,,,,,,,
299,"Larry Nance Jr., PF",CLE,35,31.2,-1.64,0.21,-1.42,0.55,,,,,,,,,,,
300,"Rui Hachimura, PF",WSH,47,31.7,-1.58,0.15,-1.43,0.75,,,,,,,,,,,
301,"Matt Thomas, SG",UTAH/TOR,35,7.5,0.03,-1.47,-1.44,0.17,,,,,,,,,,,
302,"Elfrid Payton, PG",NY,52,25.3,-3.54,2.09,-1.45,0.54,,,,,,,,,,,
303,"Ryan Arcidiacono, PG",CHI,35,10.9,-0.21,-1.24,-1.45,0.23,,,,,,,,,,,
304,"Timothe Luwawu-Cabarrot, SG",BKN,53,19.0,0.00,-1.46,-1.46,0.56,,,,,,,,,,,
305,"Delon Wright, G",DET/SAC,51,26.9,-1.31,-0.16,-1.46,0.68,,,,,,,,,,,
306,"Anthony Lamb, F",HOU,14,11.9,-0.67,-0.80,-1.47,0.09,,,,,,,,,,,
307,"Tony Bradley, C",PHI/OKC,35,16.3,-0.31,-1.18,-1.49,0.29,,,,,,,,,,,
308,"Isaiah Hartenstein, C",CLE/DEN,44,12.1,-0.61,-0.89,-1.50,0.26,,,,,,,,,,,
309,"Mfiondu Kabengele, F",CLE/LAC,27,4.4,-1.35,-0.17,-1.51,0.05,,,,,,,,,,,
310,"Killian Tillie, C",MEM,13,9.0,-0.41,-1.11,-1.51,0.06,,,,,,,,,,,
311,"D.J. Augustin, PG",HOU/MIL,51,19.2,0.65,-2.19,-1.54,0.46,,,,,,,,,,,
312,"Wendell Carter Jr., C",CHI/ORL,46,25.6,-1.03,-0.53,-1.56,0.45,,,,,,,,,,,
313,"Deividas Sirvydis, SG",DET,14,2.7,-0.61,-0.95,-1.56,0.02,,,,,,,,,,,
314,"Marquese Chriss, SF",GS,2,13.5,-0.60,-0.96,-1.56,0.02,,,,,,,,,,,
315,"Devin Cannady, G",ORL,8,9.3,-0.17,-1.41,-1.58,0.03,,,,,,,,,,,
316,"Gabe Vincent, PG",MIA,42,13.4,-0.40,-1.18,-1.58,0.23,,,,,,,,,,,
317,"Thon Maker, F",CLE,8,9.5,-1.19,-0.40,-1.59,0.03,,,,,,,,,,,
318,"P.J. Washington, PF",CHA,53,29.7,-1.96,0.37,-1.59,0.52,,,,,,,,,,,
319,"Isaiah Thomas, G",NO,3,16.0,0.01,-1.61,-1.60,0.02,,,,,,,,,,,
320,"Otto Porter Jr., SF",CHI/ORL,28,21.7,0.10,-1.71,-1.60,0.24,,,,,,,,,,,
RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,,,,,,,,,,,
321,"Chuma Okeke, PF",ORL,43,25.0,-1.29,-0.32,-1.61,0.39,,,,,,,,,,,
322,"Derrick Rose, PG",DET/NY,40,24.7,-0.29,-1.33,-1.62,0.36,,,,,,,,,,,
323,"Jabari Parker, PF",BOS/SAC,8,12.4,-0.77,-0.87,-1.64,0.04,,,,,,,,,,,
324,"Dennis Smith Jr., PG",DET/NY,23,18.3,-0.10,-1.54,-1.64,0.14,,,,,,,,,,,
325,"LaMarcus Aldridge, C",BKN/SA,26,25.9,-1.08,-0.56,-1.64,0.21,,,,,,,,,,,
326,"Tomas Satoransky, SG",CHI,48,23.3,0.33,-1.97,-1.64,0.37,,,,,,,,,,,
327,"Jaden McDaniels, PF",MIN,54,23.3,-0.95,-0.71,-1.65,0.41,,,,,,,,,,,
328,"Kevon Looney, C",GS,50,17.5,-2.24,0.58,-1.66,0.27,,,,,,,,,,,
329,"Brandon Goodwin, PG",ATL,42,12.9,-0.43,-1.24,-1.66,0.17,,,,,,,,,,,
330,"Taj Gibson, C",NY,34,20.3,-1.15,-0.52,-1.67,0.21,,,,,,,,,,,
331,"Nico Mannion, PG",GS,24,12.3,0.06,-1.73,-1.67,0.08,,,,,,,,,,,
332,"Kevin Knox II, SF",NY,38,11.9,-0.17,-1.51,-1.68,0.16,,,,,,,,,,,
333,"Tremont Waters, PG",BOS,18,7.1,0.70,-2.38,-1.68,0.04,,,,,,,,,,,
334,"Jaylen Nowell, SG",MIN,38,18.8,0.46,-2.16,-1.69,0.21,,,,,,,,,,,
335,"Avery Bradley, PG",HOU/MIA,24,22.0,-0.37,-1.33,-1.70,0.15,,,,,,,,,,,
336,"Cassius Stanley, SG",IND,17,2.6,-0.91,-0.80,-1.70,0.02,,,,,,,,,,,
337,"Anthony Edwards, SF",MIN,61,31.4,-0.57,-1.14,-1.71,0.47,,,,,,,,,,,
338,"Lou Williams, SG",ATL/LAC,56,22.3,0.56,-2.27,-1.71,0.35,,,,,,,,,,,
339,"Wesley Matthews, SG",LAL,50,19.3,-1.18,-0.54,-1.71,0.25,,,,,,,,,,,
340,"Obi Toppin, PF",NY,51,11.1,-0.62,-1.09,-1.72,0.15,,,,,,,,,,,
341,"Talen Horton-Tucker, SG",LAL,55,19.7,-0.34,-1.38,-1.72,0.30,,,,,,,,,,,
342,"Markus Howard, PG",DEN,29,3.3,-0.29,-1.45,-1.74,0.03,,,,,,,,,,,
343,"Devin Vassell, SG",SA,49,16.1,-0.35,-1.40,-1.75,0.20,,,,,,,,,,,
344,"T.J. McConnell, PG",IND,57,25.6,0.71,-2.47,-1.77,0.32,,,,,,,,,,,
345,"Luka Samanic, PF",SA,27,9.2,-0.54,-1.23,-1.78,0.05,,,,,,,,,,,
346,"Anfernee Simons, SG",POR,52,16.3,0.48,-2.26,-1.78,0.14,,,,,,,,,,,
347,"Paul Reed, SF",PHI,18,6.4,-0.93,-0.85,-1.78,0.02,,,,,,,,,,,
348,"Gary Payton II, G",GS,9,3.0,-0.68,-1.11,-1.79,0.01,,,,,,,,,,,
349,"Andre Drummond, C",CLE/LAL,34,28.1,-1.15,-0.65,-1.80,0.14,,,,,,,,,,,
350,"Zeke Nnaji, PF",DEN,38,9.4,-0.51,-1.29,-1.80,0.06,,,,,,,,,,,
351,"Carmelo Anthony, PF",POR,59,24.9,-0.22,-1.58,-1.80,0.22,,,,,,,,,,,
352,"Tyrese Haliburton, PG",SAC,54,30.0,1.06,-2.86,-1.80,0.25,,,,,,,,,,,
353,"Quinn Cook, PG",CLE/LAL,23,6.8,-0.75,-1.06,-1.80,0.02,,,,,,,,,,,
354,"Meyers Leonard, C",MIA,3,9.7,-0.94,-0.87,-1.81,0.01,,,,,,,,,,,
355,"Boban Marjanovic, C",DAL,24,9.0,-0.72,-1.09,-1.81,0.03,,,,,,,,,,,
356,"Rajon Rondo, PG",ATL/LAC,36,15.8,0.22,-2.04,-1.82,0.09,,,,,,,,,,,
357,"Marcus Morris Sr., SF",LAC,48,26.3,0.52,-2.34,-1.82,0.17,,,,,,,,,,,
358,"Drew Eubanks, PF",SA,41,13.8,-0.75,-1.07,-1.82,0.09,,,,,,,,,,,
359,"Isaac Okoro, SF",CLE,55,31.7,-3.59,1.75,-1.84,0.17,,,,,,,,,,,
360,"James Johnson, PF",NO/DAL,40,20.1,-0.43,-1.41,-1.84,0.10,,,,,,,,,,,
RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,,,,,,,,,,,
361,"Josh Okogie, SF",MIN,48,21.2,-1.86,0.00,-1.85,0.10,,,,,,,,,,,
362,"Dwayne Bacon, SG",ORL,60,25.2,-2.51,0.65,-1.86,0.14,,,,,,,,,,,
363,"Alen Smailagic, PF",GS,9,4.2,-1.27,-0.59,-1.86,0.00,,,,,,,,,,,
364,"Lonnie Walker IV, SG",SA,47,24.9,-0.84,-1.02,-1.86,0.11,,,,,,,,,,,
365,"Mitchell Robinson, C",NY,31,27.5,-2.65,0.79,-1.86,0.07,,,,,,,,,,,
366,"Bismack Biyombo, C",CHA,54,20.9,-2.53,0.67,-1.87,0.10,,,,,,,,,,,
367,"Matthew Dellavedova, PG",CLE,13,17.2,-0.31,-1.56,-1.88,0.02,,,,,,,,,,,
368,"Cody Martin, SF",CHA,48,15.9,-0.98,-0.89,-1.88,0.07,,,,,,,,,,,
369,"Aaron Holiday, PG",IND,58,16.9,-0.02,-1.86,-1.88,0.08,,,,,,,,,,,
370,"Tony Snell, SF",ATL,40,21.0,-1.21,-0.68,-1.89,0.05,,,,,,,,,,,
371,"Tristan Thompson, C",BOS,46,23.3,-2.21,0.30,-1.91,0.04,,,,,,,,,,,
372,"Torrey Craig, SF",MIL/PHX,38,14.2,-0.17,-1.75,-1.92,0.02,,,,,,,,,,,
373,"Precious Achiuwa, PF",MIA,55,12.4,-0.97,-0.97,-1.94,0.01,,,,,,,,,,,
374,"Aaron Nesmith, SF",BOS,35,12.6,-0.64,-1.31,-1.95,0.00,,,,,,,,,,,
375,"DeMarcus Cousins, C",HOU/LAC,33,18.1,-0.05,-1.91,-1.95,0.00,,,,,,,,,,,
376,"Andre Roberson, F",BKN,5,12.6,-1.38,-0.57,-1.95,0.00,,,,,,,,,,,
377,"Jarrett Culver, SF",MIN,34,14.7,-1.12,-0.84,-1.97,-0.01,,,,,,,,,,,
378,"Donta Hall, F",ORL,5,11.8,-0.73,-1.24,-1.97,-0.00,,,,,,,,,,,
379,"Austin Rivers, G",DEN/NY,24,21.1,-0.76,-1.21,-1.97,-0.01,,,,,,,,,,,
380,"Jordan McLaughlin, PG",MIN,41,19.2,-0.19,-1.79,-1.97,-0.02,,,,,,,,,,,
381,"Terance Mann, SG",LAC,59,19.1,-0.87,-1.11,-1.98,-0.03,,,,,,,,,,,
382,"Frank Ntilikina, PG",NY,24,10.9,-0.87,-1.13,-2.00,-0.01,,,,,,,,,,,
383,"Jaylen Hoard, F",OKC,10,16.5,-1.18,-0.83,-2.01,-0.01,,,,,,,,,,,
384,"Aron Baynes, C",TOR,50,18.2,-2.49,0.47,-2.02,-0.06,,,,,,,,,,,
385,"Freddie Gillespie, F",TOR,8,16.9,-1.39,-0.64,-2.04,-0.01,,,,,,,,,,,
386,"Nathan Knight, PF",ATL,27,8.3,-0.66,-1.39,-2.04,-0.03,,,,,,,,,,,
387,"Dwight Howard, C",PHI,58,17.4,-0.58,-1.46,-2.05,-0.11,,,,,,,,,,,
388,"Dylan Windler, SG",CLE,31,16.5,-0.26,-1.79,-2.05,-0.06,,,,,,,,,,,
389,"JaKarr Sampson, SF",IND,23,9.5,-1.18,-0.88,-2.05,-0.03,,,,,,,,,,,
390,"Sean McDermott, SG",MEM,17,9.2,-1.18,-0.88,-2.06,-0.02,,,,,,,,,,,
391,"T.J. Warren, SF",IND,4,29.3,-0.83,-1.24,-2.07,-0.01,,,,,,,,,,,
392,"Semi Ojeleye, PF",BOS,50,17.5,-1.24,-0.83,-2.07,-0.11,,,,,,,,,,,
393,"Theo Pinson, SG",NY,14,2.2,-1.09,-1.00,-2.09,-0.01,,,,,,,,,,,
394,"Khem Birch, C",ORL/TOR,55,20.7,-2.03,-0.07,-2.09,-0.17,,,,,,,,,,,
395,"Caleb Martin, SF",CHA,45,15.1,-0.48,-1.63,-2.11,-0.13,,,,,,,,,,,
396,"JaVale McGee, C",CLE/DEN,38,14.7,-0.64,-1.47,-2.11,-0.10,,,,,,,,,,,
397,"Jeff Teague, PG",BOS/MIL,46,17.8,-0.65,-1.46,-2.11,-0.15,,,,,,,,,,,
398,"Mike Scott, PF",PHI,41,17.6,-1.52,-0.60,-2.12,-0.12,,,,,,,,,,,
399,"John Konchar, SG",MEM,34,13.7,-0.95,-1.17,-2.12,-0.09,,,,,,,,,,,
400,"Axel Toupane, SG",MIL,8,7.6,-1.61,-0.53,-2.14,-0.01,,,,,,,,,,,
RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,,,,,,,,,,,
401,"James Nunnally, F",NO,3,8.0,-0.82,-1.32,-2.14,-0.00,,,,,,,,,,,
402,"Kira Lewis Jr., PG",NO,42,16.3,-0.15,-1.99,-2.14,-0.14,,,,,,,,,,,
403,"Jahlil Okafor, C",DET,19,11.1,-1.12,-1.03,-2.15,-0.05,,,,,,,,,,,
404,"Patrick Williams, PF",CHI,59,28.2,-2.84,0.69,-2.16,-0.32,,,,,,,,,,,
405,"Al-Farouq Aminu, PF",CHI/ORL,20,19.6,-2.88,0.72,-2.16,-0.07,,,,,,,,,,,
406,"Adam Mokoka, SG",CHI,11,4.6,-0.81,-1.36,-2.16,-0.01,,,,,,,,,,,
407,"Grant Riller, PG",CHA,5,4.2,-1.10,-1.06,-2.17,-0.01,,,,,,,,,,,
408,"Ray Spalding, F",HOU,2,9.5,-0.93,-1.25,-2.18,-0.01,,,,,,,,,,,
409,"Nicolo Melli, PF",NO/DAL,34,12.2,-1.87,-0.32,-2.19,-0.10,,,,,,,,,,,
410,"Isaiah Roby, C",OKC,49,23.7,-1.58,-0.62,-2.20,-0.28,,,,,,,,,,,
411,"Cole Anthony, PG",ORL,35,26.7,-1.64,-0.57,-2.21,-0.23,,,,,,,,,,,
412,"Jalen Smith, PF",PHX,21,4.2,-1.67,-0.55,-2.21,-0.03,,,,,,,,,,,
413,"Jordan Bone, G",ORL,14,14.0,-1.07,-1.14,-2.22,-0.07,,,,,,,,,,,
414,"James Wiseman, C",GS,39,21.4,-1.23,-0.99,-2.22,-0.21,,,,,,,,,,,
415,"Cristiano Felicio, PF",CHI,13,4.5,-1.84,-0.37,-2.22,-0.02,,,,,,,,,,,
416,"Reggie Perry, PF",BKN,21,9.5,-0.88,-1.36,-2.24,-0.07,,,,,,,,,,,
417,"Jalen McDaniels, PF",CHA,35,16.9,-1.12,-1.13,-2.25,-0.18,,,,,,,,,,,
418,"Kevin Porter Jr., SG",HOU,21,31.6,0.89,-3.13,-2.25,-0.19,,,,,,,,,,,
419,"Anthony Tolliver, F",PHI,3,13.3,-1.04,-1.21,-2.25,-0.01,,,,,,,,,,,
420,"Justise Winslow, PF",MEM,20,20.1,-0.90,-1.36,-2.26,-0.14,,,,,,,,,,,
421,"Bruno Caboclo, F",HOU,6,6.0,-1.06,-1.21,-2.26,-0.01,,,,,,,,,,,
422,"Javonte Green, G",BOS/CHI,31,12.2,-1.22,-1.04,-2.27,-0.14,,,,,,,,,,,
423,"Hamidou Diallo, SG",DET/OKC,46,22.7,-0.69,-1.61,-2.30,-0.39,,,,,,,,,,,
424,"Derrick Favors, C",UTAH,56,15.5,-0.07,-2.24,-2.30,-0.39,,,,,,,,,,,
425,"Anthony Gill, PF",WSH,20,6.5,-1.17,-1.14,-2.32,-0.05,,,,,,,,,,,
426,"Devontae Cacok, PF",LAL,17,5.2,-1.00,-1.32,-2.32,-0.04,,,,,,,,,,,
427,"Rayjon Tucker, SG",PHI,11,3.6,-1.00,-1.32,-2.32,-0.02,,,,,,,,,,,
428,"Hassan Whiteside, C",SAC,36,15.2,-0.72,-1.62,-2.33,-0.23,,,,,,,,,,,
429,"Tyrell Terry, PG",DAL,11,5.1,-1.64,-0.70,-2.34,-0.03,,,,,,,,,,,
430,"Theo Maledon, PG",OKC,54,27.7,-1.73,-0.63,-2.35,-0.58,,,,,,,,,,,
431,"Dante Exum, PG",CLE,6,19.3,-1.16,-1.23,-2.39,-0.06,,,,,,,,,,,
432,"Wenyen Gabriel, PF",NO,10,6.1,-0.98,-1.41,-2.39,-0.03,,,,,,,,,,,
433,"Chris Silva, PF",MIA/SAC,15,6.1,-1.40,-0.99,-2.40,-0.05,,,,,,,,,,,
434,"Maurice Harkless, SF",MIA/SAC,26,18.1,-1.08,-1.34,-2.42,-0.24,,,,,,,,,,,
435,"Cory Joseph, PG",DET/SAC,59,22.7,-0.63,-1.80,-2.42,-0.69,,,,,,,,,,,
436,"Nate Hinton, SG",DAL,14,3.4,-1.00,-1.42,-2.42,-0.03,,,,,,,,,,,
437,"Tacko Fall, C",BOS,15,6.7,-1.66,-0.79,-2.44,-0.05,,,,,,,,,,,
438,"Mike James, PG",BKN,2,14.0,-1.21,-1.24,-2.45,-0.01,,,,,,,,,,,
439,"Nate Darling, SG",CHA,6,4.0,-1.10,-1.36,-2.46,-0.01,,,,,,,,,,,
440,"Tyler Bey, SG",DAL,11,3.5,-1.72,-0.74,-2.46,-0.02,,,,,,,,,,,
RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,,,,,,,,,,,
441,"Marques Bolden, C",CLE,6,4.8,-1.65,-0.81,-2.46,-0.02,,,,,,,,,,,
442,"Nassir Little, SF",POR,40,14.2,-0.73,-1.75,-2.47,-0.28,,,,,,,,,,,
443,"Ty-Shon Alexander, SG",PHX,9,3.2,-1.41,-1.07,-2.48,-0.01,,,,,,,,,,,
444,"Solomon Hill, SF",ATL,60,21.4,-0.92,-1.58,-2.50,-0.82,,,,,,,,,,,
445,"Juwan Morgan, SF",UTAH,23,5.0,-1.42,-1.08,-2.51,-0.07,,,,,,,,,,,
446,"DeAndre' Bembry, SG",TOR,39,18.1,-0.65,-1.86,-2.51,-0.41,,,,,,,,,,,
447,"Patrick McCaw, SF",TOR,5,6.6,-1.30,-1.22,-2.51,-0.02,,,,,,,,,,,
448,"Jontay Porter, PF",MEM,7,3.1,-1.29,-1.25,-2.54,-0.01,,,,,,,,,,,
449,"Glenn Robinson III, F",SAC,23,16.0,-1.03,-1.52,-2.55,-0.23,,,,,,,,,,,
450,"Michael Carter-Williams, PG",ORL,31,25.8,-3.29,0.74,-2.55,-0.44,,,,,,,,,,,
451,"Justin Patton, C",HOU,13,19.0,-1.27,-1.28,-2.56,-0.17,,,,,,,,,,,
452,"Brodric Thomas, SG",CLE/HOU,20,8.4,-0.69,-1.88,-2.57,-0.12,,,,,,,,,,,
453,"Isaac Bonga, G",WSH,37,11.3,-1.81,-0.77,-2.58,-0.27,,,,,,,,,,,
454,"Stanley Johnson, SF",TOR,50,14.6,-1.21,-1.38,-2.59,-0.54,,,,,,,,,,,
455,"Onyeka Okongwu, PF",ATL,39,11.2,-0.96,-1.63,-2.59,-0.33,,,,,,,,,,,
456,"Rodions Kurucs, SF",HOU/MIL/BKN,21,6.0,-0.82,-1.79,-2.61,-0.10,,,,,,,,,,,
457,"Damian Jones, C",LAL/PHX/SAC,27,10.2,-1.52,-1.11,-2.64,-0.18,,,,,,,,,,,
458,"Troy Brown Jr., F",CHI/WSH,34,15.4,-0.91,-1.73,-2.64,-0.40,,,,,,,,,,,
459,"Jaylen Adams, G",MIL,7,2.6,-1.73,-0.94,-2.67,-0.02,,,,,,,,,,,
460,"DaQuan Jeffries, F",HOU/SAC,24,13.0,-1.21,-1.47,-2.68,-0.26,,,,,,,,,,,
461,"Cam Reddish, SF",ATL,26,28.8,-1.03,-1.65,-2.68,-0.54,,,,,,,,,,,
462,"Quinndary Weatherspoon, SG",SA,17,4.5,-1.00,-1.69,-2.68,-0.05,,,,,,,,,,,
463,"Terrance Ferguson, SF",PHI,13,3.8,-1.66,-1.04,-2.70,-0.05,,,,,,,,,,,
464,"Vlatko Cancar, SF",DEN,33,5.5,-1.05,-1.66,-2.70,-0.17,,,,,,,,,,,
465,"Tyler Cook, F",DET/BKN,21,12.0,-1.51,-1.20,-2.71,-0.22,,,,,,,,,,,
466,"Norvel Pelle, PF",BKN/NY/SAC,8,7.1,-1.70,-1.04,-2.73,-0.05,,,,,,,,,,,
467,"Rondae Hollis-Jefferson, F",POR,5,12.6,-1.12,-1.63,-2.75,-0.05,,,,,,,,,,,
468,"Brad Wanamaker, PG",GS/CHA,53,16.8,-0.80,-1.96,-2.76,-0.82,,,,,,,,,,,
469,"Sindarius Thornwell, G",NO,14,5.2,-1.36,-1.40,-2.76,-0.06,,,,,,,,,,,
470,"Jerome Robinson, SG",WSH,17,17.9,-1.26,-1.51,-2.77,-0.27,,,,,,,,,,,
471,"D.J. Wilson, PF",HOU/MIL,32,11.5,-0.46,-2.35,-2.81,-0.37,,,,,,,,,,,
472,"Sekou Doumbouya, SF",DET,47,13.3,-1.32,-1.50,-2.82,-0.62,,,,,,,,,,,
473,"Thanasis Antetokounmpo, SF",MIL,48,10.3,-0.85,-1.97,-2.82,-0.52,,,,,,,,,,,
474,"Jordan Bell, C",WSH,5,13.4,-1.69,-1.14,-2.83,-0.08,,,,,,,,,,,
475,"Ed Davis, C",MIN,22,13.3,-2.67,-0.19,-2.86,-0.28,,,,,,,,,,,
476,"Jared Dudley, SF",LAL,11,6.9,-2.10,-0.78,-2.87,-0.07,,,,,,,,,,,
477,"Tim Frazier, G",MEM,3,11.0,-1.60,-1.29,-2.89,-0.03,,,,,,,,,,,
478,"E'Twaun Moore, SG",PHX,24,14.5,-1.09,-1.80,-2.89,-0.35,,,,,,,,,,,
479,"Gary Clark, SF",DEN/ORL,37,17.3,-1.90,-1.03,-2.92,-0.67,,,,,,,,,,,
480,"Grant Williams, PF",BOS,53,18.7,-1.48,-1.47,-2.95,-1.13,,,,,,,,,,,
RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,,,,,,,,,,,
481,"Frank Mason III, G",ORL,4,19.8,-0.93,-2.03,-2.96,-0.07,,,,,,,,,,,
482,"Danuel House Jr., SF",HOU,32,27.0,-1.34,-1.64,-2.98,-0.88,,,,,,,,,,,
483,"Markelle Fultz, PG",ORL,8,26.9,-1.39,-1.60,-2.99,-0.22,,,,,,,,,,,
484,"Iman Shumpert, G",BKN,2,5.5,-2.88,-0.12,-3.00,-0.00,,,,,,,,,,,
485,"Aleksej Pokusevski, PF",OKC,37,23.4,-1.37,-1.72,-3.08,-0.99,,,,,,,,,,,
486,"Bruno Fernando, PF",ATL,27,6.7,-2.38,-0.72,-3.09,-0.25,,,,,,,,,,,
487,"Saben Lee, PG",DET,37,15.5,-1.36,-1.74,-3.10,-0.72,,,,,,,,,,,
488,"Jahmi'us Ramsey, SG",SAC,5,3.4,-2.86,-0.25,-3.11,-0.01,,,,,,,,,,,
489,"Nick Richards, C",CHA,17,3.6,-1.74,-1.42,-3.16,-0.08,,,,,,,,,,,
490,"Lamar Stevens, PF",CLE,40,12.5,-1.30,-1.87,-3.17,-0.70,,,,,,,,,,,
491,"Karim Mane, SG",ORL,10,8.8,-2.25,-0.94,-3.19,-0.14,,,,,,,,,,,
492,"Josh Green, SG",DAL,28,10.1,-1.94,-1.27,-3.21,-0.38,,,,,,,,,,,
493,"Kenyon Martin Jr., SF",HOU,34,20.4,-1.15,-2.08,-3.22,-1.00,,,,,,,,,,,
494,"Vincent Poirier, C",PHI,10,3.9,-1.85,-1.42,-3.28,-0.06,,,,,,,,,,,
495,"Josh Hall, SF",OKC,14,12.4,-2.09,-1.24,-3.33,-0.25,,,,,,,,,,,
496,"Kostas Antetokounmpo, PF",LAL,14,3.8,-1.93,-1.41,-3.34,-0.09,,,,,,,,,,,
497,"Udoka Azubuike, C",UTAH,12,4.1,-1.89,-1.46,-3.35,-0.07,,,,,,,,,,,
